aspect,np,review
操作のしやすさ,-1,個人的に操作性と相性が悪く面倒が目立って続けられませんでした。プレイヤースキルが０でもプレイ可能です。キャラを操作するというより、キャラという駒を進めるといった操作を繰り返す感じです。神視点で命令を下すだけなので、没入感や感情移入はできませんでした。
操作のしやすさ,0,魔法とスキルのシステムは理解しやすいが、独自のキャラクターを作るには複雑さもある
操作のしやすさ,-1,操作に癖があるので慣れるまでが大変
操作のしやすさ,-1,移動が遅い
操作のしやすさ,-1,マウスのみで大部分は操作可能だが、マウスのローラーを押した状態でのマウスポインターを使った、画面をスワイプするシステムは世辞にも使い勝手は良くないです。とにかく面倒です。イベント進行用のアイテムも見難いので、ＡＬＴキーを多用する事をオススメします。ま～マウス、ＡＬＴ、キャラ周辺の画面を見渡す為に使用する矢印キーが有ればプレイに問題は無いでしょう。
操作のしやすさ,-1,日本語版はBボタンが決定に変更されている。オプションで確認できる操作説明では、Aボタンが決定になっている。何故いちいち余計な変更を加えるのかが分からない。
操作のしやすさ,-1,操作性は今一つだし
操作のしやすさ,1,戦闘システムが取っつきやすい
操作のしやすさ,-1,コントローラー派なのですが、決定とキャンセルが他のゲームと逆なのでこれもストレスたまります。
操作のしやすさ,-1,コントローラーの決定ボタンが逆になっていて箱コンでは非常に遊び辛いです
操作のしやすさ,-1,クリックした後の反応の遅延もすごくて操作が大変。操作が狂って意図しない行動とかし始めると、ゲームに対して殺意がわくほどのストレス。
操作のしやすさ,-1,パーティーのコントロールが出来ない
操作のしやすさ,-1,移動もモタモタと鈍くて翻訳はまったくこの世界に没入できない辺りがどうにもきつくて
操作のしやすさ,1,日本語何もしないですぐに使えました
難易度の適切さ,1,戦闘バランスが秀逸だと答えたい
難易度の適切さ,0,ゲームの難易度の設定について説明が欲しかった気がします。
難易度の適切さ,0,難易度は前作よりちょっと難しくなってるかもしれません
難易度の適切さ,0,敵は硬く強いが、戦闘の頻度は低いと感じた
難易度の適切さ,1,DOS2は多種多様な難易度を揃えているため、RPG初心者から熟練者まで、幅広い層が楽しめるようになっている。
難易度の適切さ,-1,クエストは次に何をすればいいの？・・が多くて、攻略サイトが無ければクリアを諦めていた
難易度の適切さ,1,低難易度でも高難易度でも満足感のあるタクティカルな戦闘
難易度の適切さ,1,確かに最初の印象を裏切らず難易度は高いのですが、その難しさがストレスになるようなものではなく、楽しい難しさ・中毒性のある難しさだと感じています。ハードルが高く感じる場合は一番簡単な難易度を選んでもそれなりに楽しい戦闘が出来ます。
難易度の適切さ,-1,あまりにも不親切＆難易度が高すぎると感じました。難易度「クラシック」で初見でクリアするのは無理な難易度。ゲーム内で説明される知識だけでは到底攻略できない。レベル差がある敵には勝ち目がないにも関わらず、モブ狩りでレベルを上げることができない。クエストのイベントの敵が倒せず、一向に物語が進まない状態に陥る。死亡時の復活に高価なアイテムが必要となり、実質的に死亡したらやり直しを強いられる。強い敵とのバトルではセーブ・ロードを繰り返すことになり、テンポが損なわれる。洋ゲーのお約束、突然の即死の連続。難易度が常時変更できるので、詰むことはないが、余計な挫折感を味わう。
難易度の適切さ,-1,一部のパズルが難しすぎた。初見殺しの凶悪な敵もうんざりする要素だった。
難易度の適切さ,-1,レベルと経験値の設定はかなりシビアになっており、サブクエストも含めてほぼすべてのクエストをクリアすることでようやくクリアに必要なレベルに達するようになっています。これはどういうことかと言うと、まずサブクエストをやらないという選択肢が基本的にないということです。途中かなり広大なフィールドに出ることもあるのですが、一見「さぁ！自由な冒険の始まりだ！」という風に見えるものの、実際は行ける場所は決まっていて、開発の意図した順番通りにゲームを進めていかなければならなくなるようになっています。
難易度の適切さ,1,かといって難易度が優しいわけじゃなくやりごたえめっちゃあります
難易度の適切さ,1,ゲームに馴染むまでのハードルが高いが馴染んだら超面白い
難易度の適切さ,1,最高難易度クリアの実績があるから最低でも２周は遊べるドン！
難易度の適切さ,-1,難度も高いディヴィニティなのでそれは最早フラストレーションの域に達するレベル
難易度の適切さ,-1,全体的に難易度が高く、ノーマルモードでもハードモード以上の難易度になっています。初見プレイ時のオススメ難易度はクラシックです。難易度が低いとクラフトの要素があまり目立たないところです。
難易度の適切さ,-1,人によるけど比較的序盤知識量依存の難易度は高い
難易度の適切さ,1,適度に歯ごたえのある戦略的な戦闘
難易度の適切さ,1,難易度も選べるので優しいです。
難易度の適切さ,-1,戦闘は前作と同じく、工夫をしないと辛い難易度
難易度の適切さ,1,ノーマルですら戦闘は力押しで勝つには厳しく、状態異常をフル活用する必要があり、やりごたえのある戦闘を楽しめる。ゲームは難しかったが、難しすぎなかった。
難易度の適切さ,-1,何かすごく面倒なゲームなんですが、クエストが点在するようなオープンワールドなどのゲームをプレイできる方ならいけるんじゃないでしょうか。
難易度の適切さ,1,戦闘は楽しい。ただし、敵味方ともに移動スキル、範囲スキルも豊富なので、難易度は高い。
難易度の適切さ,1,"ターン制かつシミュレーション的な操作感なので地形の高低差や炎上、毒沼などの効果も考えた戦闘は歯ごたえある。"
難易度の適切さ,1,面白いけど難しい、前作が難しくてクリアできなかった、難しいゲームは苦手だと思う人にはすすめづらい作品、前作を楽しめた方や難しいゲームを求める人にはお勧めできるゲーム、ストーリーが進むたびに難しくなり、戦闘前の配置やアイテムを駆使しなければ勝つことは難しくなる、何度もセーブ&ロードを繰り返すと思いますが、それを超えた先に大きな達成感を感じることができます
難易度の適切さ,-1,難易度高めのところに入り込んでしまうと全然勝てない
難易度の適切さ,1,ゲームは難しかったが、難しすぎなかった
難易度の適切さ,-1,初見殺し＆理不尽な戦闘
難易度の適切さ,1,戦略的な思考が求められ、挑戦しがいがある
難易度の適切さ,-1,クラシックでも相当な難易度
難易度の適切さ,1,難易度、ゲームの自由度等どこをとっても素晴らしい要素しかない
難易度の適切さ,1,戦闘は前作より改善され、より複雑化されました。スキルやビルドであれこれ試行錯誤して悩むのが非常に楽しいゲームです。
難易度の適切さ,-1,難易度の高いRPGだと聞いていましたが、バランスが難しいというよりシステムを理解し使いこなすのが難しい。難易度自体は選択可能ですが、ここらへんを楽しく思えないと簡単な難易度で遊んでもストレスになる気がしますね。
難易度の適切さ,-1,戦闘はかなり厳し目です。Ryuu的にはずるをしないと勝てない場面が多くて辛いです。
難易度の適切さ,-1,ラスト3～4戦あたりは理不尽すぎて個人的には楽しめなかった点は残念
難易度の適切さ,1,難易度は高めなのでタクティクスゲーム好きな人はどうぞ
難易度の適切さ,-1,オリジナルシン1より難易度上がってませんか？
難易度の適切さ,0,難しすぎなかったが、理不尽さを感じることがあった
難易度の適切さ,-1,１もやったけど１より難しい気がするし長いです。選択肢間違うと死ぬし最初の位置取り間違えただけでも全滅不可避だったりで、セーブロード繰り返してるのでプレイ時間はもっと長いと思います。
難易度の適切さ,1,難易度イージー相当でクリアしたのでレビュー。前作はクラシック（ノーマル相当）でクリアしていたがより難しいと聞いていたのでエクスプローラー（イージー）でプレイ。
難易度の適切さ,1,レベル差補正の影響が大きいゲームですが、スキルや装備、立ち回り次第で格上にもちゃんと勝てるので達成感があります。
難易度の適切さ,1,難易度は若干高く、その分頭を使い戦略を考えるのがとても楽しい
難易度の適切さ,1,程よい戦略性、戦闘ボリュームで戦略の幅はあるものの重すぎない感じが良かった
難易度の適切さ,0,難しいという人は無理に四人で旅をするよりも二人旅でローンウルフを付けるのをオススメする
難易度の適切さ,-1,逆に難しいはチュートリアルの敵にすら負けるぐらい強いので工夫と鬼のロードが必要。
難易度の適切さ,-1,戦闘の難易度はやはり高めで、経験値稼ごうとしても敵は復活しないので、人によっては嫌になるかもしれません。
難易度の適切さ,-1,難しい
難易度の適切さ,-1,難しいっつうかただの数値の暴力だろコレ
難易度の適切さ,-1,レベル差補正強すぎるから筋力だとか技量だとかも意味はあるけど、そっちを上げることよりもレベルのほうが大事なのは自分でステータスにポイントを振るシステムの自由度や意義にあってないと言わざるをえないと思う。2レベル差が開くと明らかにきつくなるというかもう無理。レベルで買える装備も変わるからレベルに強さの比重が乗りすぎているという方が正しいかもしれない。
難易度の適切さ,1,非常に難易度が高く、しかし絶対に乗り越えられないわけではない絶妙なゲームバランス。
難易度の適切さ,1,難易度が充実している。また途中でもゲーム設定で変更可能
難易度の適切さ,1,難易度も歯ごたえがあって戦闘のし甲斐がありました。おすすめはタクティカル(Hard)ですが、程よい戦闘の重量がいいならクラシック(Normal)、RPGが初めてであったり慣れていない場合はエクスプローラ(Easy)が良いと思います。クラシックでも十分苦しむ場面はあると思いますが。
難易度の適切さ,-1,一番低い難易度でやってますが、死んだことは２、３回あります。それは、大体自分よりもレベルが２以上高い敵に突っ込んだ時とかに多いです。このゲームは、１レベル差＝他のRPG５レベル以上差と考えて良いと思います。
難易度の適切さ,1,初見ノーマルプレイはかなりきつく敵も強く感じたのでコツが掴めるまではイージーモードをおすすめします。
難易度の適切さ,-1,敵はちょうどいいけど全滅によってセーブが消えるシステムがあまりにもきついです
難易度の適切さ,1,何度ロストしたか覚えていないが、ともあれ、プレイ時間が物語るように何度でも繰り返し遊んだ
難易度の適切さ,1,戦闘は難易度も高めで面白かった
難易度の適切さ,1,絶妙な難易度になっていて、他のゲームにはない体験がたくさんあります
難易度の適切さ,-1,敵と味方の装備差がありすぎて太刀打ちできない
難易度の適切さ,0,難易度があった
難易度の適切さ,-1,戦闘が難しい。それはやりがいがあるような難易度でなく、とにかく理不尽。
難易度の適切さ,-1,攻略サイトがないと先に進めない、ドルアーガの塔的な難解度。バグやエラー、難解な選択肢、プレイ自体の難しさが原因で、クエストに「詰み」が発生したり、前述のような期待しない展開が頻発する。
難易度の適切さ,-1,敵に片っ端から即殺されていくだけ
難易度の適切さ,-1,難易度が高すぎた
難易度の適切さ,-1,戦闘は最初は濃厚で面白かったものの、次第に時間ばかりかかる面倒でクドくて理不尽なものに変貌して勝てなくなり
難易度の適切さ,1,難易度はヘタレな自分としては「ストーリー」がちょうど良いくらい。
難易度の適切さ,0,考えないと厳しい戦闘
難易度の適切さ,1,タクティカルで最初全然上手くいかなくて…何度もやり直してました。
難易度の適切さ,1,つまらないレベル上げはなく、探査が重要で、丁寧にマップを回ってクエストを解けば、だれでもクリアは可能です。
進捗の明確さ,-1,ゲームの進行がややこしい
目的の明確さ,-1,クエストがやたらわかりにくいのが多く一々手順や場所を調べないとやってられず
目的の明確さ,-1,自由に行き来放題故の目的の混乱
目的の明確さ,-1,話がわからない
目的の明確さ,-1,話はなんとなく分かるけど、これで製品版です！て言われても、参っちゃうかな。
目的の明確さ,-1,クエスト確認画面が若干わかりづらく、クエストの進め方も順序だてて進めたほうがもっと話が重厚になったであろう展開もあり、手探りプレイ非推奨？
目的の明確さ,0,固有の用語が多く理解するのに時間がかかるが、続けていけば理解できていくと思う
目的の明確さ,-1,クエストの目標地点がわかりづらくリストのヒントも少々わかりづらい
目的の明確さ,1,目標をこなしたい人には向いていると思います
目的の明確さ,-1,今現在、主人公たちが何をしたいのか、まったくつかめない
目的の明確さ,-1,全体的な目的がわからなかった
目的の明確さ,-1,クエストの目的地が示されないのでしらみつぶしに探索するしかなく
目的の明確さ,-1,なにをすれば良いのか、どこに行けば良いのかわからない
視聴覚の魅力,1,世界設定をきちんと理解した上で訳されているようで、没入感が阻害されるようなことはあまり無く、何よりこの文章量の多さや複雑怪奇な設定を思うとかなり良い仕事をしてるように思えます。
視聴覚の魅力,-1,翻訳は有志プロジェクトの方々がしてくださったものが公式適用されており、敬意を評します。が、、やはり造語が多いのと相まって「何を言っているのかさっぱり理解できねえ。。」な会話が定期的に発生し頭を抱えます。
視聴覚の魅力,-1,重要な情報が「英語の音声と日本語の字幕」で流れるのだが、その大切な字幕が「報酬の選択画面」やら「プレーヤーの名前」やら「獲得経験値」やら「クエストの情報更新」やらが重なって読めないのである。
視聴覚の魅力,1,冒険を彩る音楽、派手でないからこそのテキスト描写による想像の余地が、このゲームのストーリーに深みを持たせている
視聴覚の魅力,-1,音楽、ここだけは前作のほうが全然良かった
視聴覚の魅力,1,感情移入度は高く、世界に住みながらプレイできる
視聴覚の魅力,1,ストーリーもラストバトルは、話の流れもあって胸が熱くなる。EDもすばらしくて、登場したキャラの後日談を説明してくれて、こんなモブまでやるのかと思いながらも本当に出来が良かったと感じる。
視聴覚の魅力,1,雰囲気世界観がとても良く全く投げる気にならなかった
視聴覚の魅力,1,美しいフィールドグラフィックがあった
視聴覚の魅力,-1,ビジュアルや世界観、オーソドックスながら非常に個性的。完成度高いです。オーディオ関連の不具合多いです。BGMに関しては前作が圧倒的に良かったと思う。
視聴覚の魅力,1,会話の日本語訳がなかなか面白い。オネェ口調とか
視聴覚の魅力,1,モーション、エフェクト、SE、音楽などビジュアル・サウンド面も高水準で作りこまれており、プレイしていて実に気持ちの良い作品です。
視聴覚の魅力,-1,グラフィックのせいで止まっている
視聴覚の魅力,1,戦闘がすごく楽しいので、洋ゲーの世界観というかシナリオはちょっと・・・という自分でも楽しめました。
視聴覚の魅力,-1,音楽は全く覚えてません。多分作ってる人たちに興味がないんだと思います。
視聴覚の魅力,1,グラフィックも良い。
視聴覚の魅力,1,間違いなく AAA クラスの RPG なので迷っている方は是非購入をお勧めします。
視聴覚の魅力,0,ゲームをするというより、映像付きの物語を読むビューワーです。時間があって、物語を読むのが好きで、アクションが苦手なかたに向いているかもしれません。
視聴覚の魅力,1,世界観的にはエルダースクロールやドラゴンエイジ的な雰囲気の、ダークファンタジーです。そういう雰囲気とSRPG好きの方には刺さる内容だと思います。
視聴覚の魅力,1,ゲームのスタイルが気に入った
視聴覚の魅力,-1,アニメーション遅い・ターン制遅い
視聴覚の魅力,1,グラフィックは驚くべきもので、素晴らしい没入感をもたらす。音楽も素晴らしい。
視聴覚の魅力,0,キャラは可愛いとも綺麗とも言えないけど、雰囲気には合ってると思う
視聴覚の魅力,1,ゲームのスタイルが気に入った。ゲームの見た目と雰囲気が気に入った。私はゲームの美学を高く評価した。
視聴覚の魅力,1,最高の形でＲＰＧの面白さを表現していますねー
視聴覚の魅力,-1,グラフィックが美しいので、もっときれいなお姉さんと単純な冒険をしたかったというのが本音。
視聴覚の魅力,1,音楽もグラフィックも最高だった
視聴覚の魅力,1,ファンタジーな世界観にとっても引き込まれました
視聴覚の魅力,-1,アークスはゴチャゴチャしてる割には綺麗な感じするから、全然魅力なかったわ。
視聴覚の魅力,1,剧情沉浸感真的好。
視聴覚の魅力,1,語り手が遠回しなセリフだけど中々良い
視聴覚の魅力,-1,機械翻訳をかけてから頑張って誤訳したかのような日本語訳です。ひどい。そもそも日本語になってない場面も多く、RPGでこれじゃゲームにならないんですよ
視聴覚の魅力,1,ゲームのスタイルが気に入った。ゲームの見た目と雰囲気が気に入った。私はゲームの美学を高く評価した。
視聴覚の魅力,1,戦闘システムや雰囲気はすごく面白い。
視聴覚の魅力,-1,他の部分がすごい魅力的なので残念でした。
視聴覚の魅力,1,映像は綺麗だし、戦闘にもこだわっている
視聴覚の魅力,1,魔法エフェクトの爽快感、登場人物の魅力
視聴覚の魅力,1,グラフィックは少し物足りないですが、仲間を含めたキャラ育成の自由度が高く、お買い得でした。
視聴覚の魅力,1,戦闘中にちょこちょこキャラが動いてるのがいいね。可愛くてカッコイイ
視聴覚の魅力,1,豊富な選択肢　楽しい
視聴覚の魅力,1,好玩
遊ぶ意義,1,協力して物語を進めることのできるゲーム
遊ぶ意義,1,ゲームをプレイすることは私にとって有意義だった。私はこのゲームをプレイすることは価値があったと感じた。
遊ぶ意義,1,ロールプレイを重視したゲームで、キャラ個人をいたわることでプレイヤーのモチベが段違いになると感じた
遊ぶ意義,1,ゲームってなんて素晴らしいんだろう・・・心からそう思えるGAMEです
遊ぶ意義,1,非常に満足できる内容となっています。前作が楽しめたのならお勧め！
遊ぶ意義,0,"長期休暇向けのゲームである"
遊ぶ意義,1,次はどんなことが起こるんだろうと楽しみながらプレイができます
遊ぶ意義,1,感情移入度は高く、世界に住みながらプレイできる
遊ぶ意義,1,ストーリーもラストバトルは、話の流れもあって胸が熱くなる。EDもすばらしくて、登場したキャラの後日談を説明してくれて、こんなモブまでやるのかと思いながらも本当に出来が良かったと感じる。
遊ぶ意義,1,こんなRPGがやりたかったという思いの前では些細なことです
遊ぶ意義,1,エンディングの達成感と喪失感がすごかった
遊ぶ意義,1,仲間との絆を確かめる非常に印象的なイベントがあり、そこで私はこのゲームが大好きになりました
遊ぶ意義,1, -1
遊ぶ意義,1,ゲームの価値を感じた
遊ぶ意義,1,主人公に感情移入したゲームはないです
遊ぶ意義,1,価格以上の価値のあるゲームでした。
遊ぶ意義,1,遊ぶ意義を感じた
遊ぶ意義,1,"神ゲーだと感じた"
没入感,1,没入感が阻害されるようなことはあまり無く
没入感,1,会話内容がより没入感を体験できるような形になっています。具体的には、前作では選択できる主人公のセリフは喋るセリフそのまんまでしたが、「○○と言う」、とか「○○と答える」、とか「○○と尋ねる」という形になっています。細かい部分ではありますが、こちらのほうがロールプレイゲームらしく、プレイヤーが選択しているという感覚を強く感じるので個人的には気に入っています。
没入感,1,圧倒的な没入感を与えてくれると言っても決して過言ではない完成度および世界観を、このDivinity: Original Sin 2は誇っております。
没入感,1,プレイ中最も時間を割くのは文章を読み解くことで、これが一番楽しいひと時だと感じた
没入感,1,と断言したくなるほどの没入感と感情移入を味わえる重厚なストーリーを背景に
没入感,1,Divinityの世界を生きているというリアルさを感じることが出来ました
没入感,-1,移動が非常に億劫、またこれにより没入感も低くなっている。視点に関しても常に神様視点からキャラ達に指示を出して従わせる感じになる為、若干没入感は低いかなという印象も受けました。
没入感,1,慣れた後の没入感は半端なかったです
没入感,-1,プレイして初めて気付くのですが没入感が削がれることの問題というのは想像以上に大きいものです。
没入感,1,自由度が高く、自由なロールプレイ含めた没入感が凄い
没入感,1,ハマる人は寝食を放り出してプレイしたくなるゲーム
没入感,1,戦闘に入るタイミング・位置取り・敵を倒す順番・地形など全てが重要な要素になっています
没入感,-1,没入感の低いストーリー
没入感,1,時間を忘れてプレイできた
没入感,1,ゲーム自体は戦闘がすごく楽しいので、洋ゲーの世界観というかシナリオはちょっと・・・という自分でも楽しめました
没入感,1,プレイすると時間が溶けるほど夢中になれるゲーム
没入感,1,時間が過ぎるのを忘れてやっている自分がいました。
没入感,-1, -1
没入感,1,映画を観たかのような体験をさせてくれました
没入感,-1,没入感や感情移入はできませんでした
没入感,1,ストーリーに没頭でき、自由度が高くやる人それぞれによって違う楽しみ方ができる
没入感,0,プレイ中は思ってましたし、今も思っています
没入感,1,プレイ中に夢中になった
没入感,1,The graphics are astounding and bring great immersion.
没入感,1,没入感があった
没入感,1,"どっぷりハマっています"
没入感,1,ファンタジーな世界観にとっても引き込まれました
没入感,1,シームレスな戦闘は楽しいと感じた
没入感,1,剧情沉浸感真的好
没入感,-1,集中力が四散し面倒くささが増す
没入感,-1,全然物語に入っていけないので楽しさ9割減
没入感,-1,翻訳はまったくこの世界に没入できない辺りがどうにもきつくて
没入感,1,ゲームをプレイしながら能力を感じた
没入感,1,時間が吸われます。
没入感,1,時間を忘れてプレイできる
没入感,1,it will drain you into the game
没入感,1,プレイ中は周囲の状況に気付かなくなった
成長感の得やすさ,1,LVはサクサク上がっていくのでＬＶがあがりスキルや各種能力のビルドを振る楽しみに集中できる
成長感の得やすさ,1,キャラメイクやポイントの再割り振りも出来て、何もわからず変なステ振りしても救済されるポイントは◎
成長感の得やすさ,1,大きな達成感を感じることができます
成長感の得やすさ,1,クリアしたときの達成感、充実感は格別です
成長感の得やすさ,1,成長の実感も得られます
成長感の得やすさ,1,時間をそこまで無駄にせずに楽しめる
成長感の得やすさ,1,ゲームの進め方がわかってくると、戦闘もクエストも自分の好きなように、
成長感の得やすさ,1,うまく戦術がはまった時の満足感は計り知れない
成長感の得やすさ,1,スキルや装備、立ち回り次第で格上にもちゃんと勝てるので達成感があります
成長感の得やすさ,1,楽々敵を倒せています
成長感の得やすさ,1, 戦略次第で多少の強敵にも勝てるようになる。
成長感の得やすさ,1,うまくやるとあっさり勝ててやってやった感があります
成長感の得やすさ,1,成長感の得やすさがあった
成長感の得やすさ,1,毎回レベルアップやストーリーの進行で新しい呪文や能力を得られ、戦闘が広がりを持っていく
成長感の得やすさ,1,キャラクターのスキルやステータスポイントも自由に育成できる点もおもしろみを感じました
成長感の得やすさ,0,"色々わかるようになり"
成長感の得やすさ,1,1時間考えて即死を回避できてからサクサク進むようになった
成長感の得やすさ,-1,成長によるアドバンテージはほとんど無い
成長感の得やすさ,1,攻略自体は面白いので結構長い時間繰り返しやってしまいます
成長感の得やすさ,1,最近やっとタクティカルモードでまともに戦えるようになったので
成長感の得やすさ,1,だれでもクリアは可能です
成長感の得やすさ,1,成長感の得やすさがあった
好奇心への刺激,1,興味津々たるストーリー
好奇心への刺激,1,ストーリーの分岐と、様々な選択肢があるといったところが、このゲームの醍醐味となる部分でしょう。
好奇心への刺激,1,メインクエスト？は複数の進み方が用意されているみたいで面白い
好奇心への刺激,1,"次はこうしたらどうなるんだろうという周回プレイをしたくなる魅力も持っている"
好奇心への刺激,1,wikiを読むと「こんなルートもあるのか」と驚くとともに感心する
好奇心への刺激,1,もう少し進めてみたいと思います
好奇心への刺激,0,ゲームがどのように進化したかを調べたかった
好奇心への刺激,1,久しぶりに起動するとまた最初からキャラメイクしていろいろ試してみたくなるゲームではあると思います
好奇心への刺激,1,色んなサイトやレビューを参考にし考えに考えて購入
好奇心への刺激,-1, -1
好奇心への刺激,1,ストーリーに拘ってしっかり理解しようと思ってる人はかなりの理解力がいると思うが面白い。
好奇心への刺激,1,まだ序盤でも展開がいろいろあって引きこまれる
好奇心への刺激,1,やりこみ要素や隠し要素満載でボリューム満点
好奇心への刺激,1,スキルや才能も気になるものが多くて、自分に合うものを探してあれこれお試しみたいに何度も最初からやり直ししてる。
好奇心への刺激,1,好奇心を刺激された
好奇心への刺激,1,探索や冒険の感覚が常にあり、様々なものを見つけたり話しかけたりする要素がある
好奇心への刺激,1,興味が有ればプレイしても損は無いと思います。
好奇心への刺激,0,似たゲーム教えて
好奇心への刺激,1,世界の未知を既知へと変える発見と驚き
好奇心への刺激,0,疑問を一石だけ投じたい
自由度,1,キャラクターが選択肢を選ぶことにより意志表明が可能
自由度,1,自由に振り直しできるようになる
自由度,1,自分の作ったオリジナルストーリーを他のプレイヤーと遊ぶモード。オンラインでTRPGを遊ぶ感じのようです。MODツールのようなものを使って作るようですね。
自由度,1,選択肢があり、常にプレイヤーの判断を仰ぐ
自由度,1,自分のやり方で自由にゲームをプレイできた
自由度,1,プレイヤーの選択がストーリ明暗を左右するゲームは今までにあっただろうか。
自由度,1,通常時は自由に動ける。戦闘時にはターン制になるが戦闘に巻き込まれていないキャラは通常時と同じように自由に動ける。戦闘中の途中参加も可能。
自由度,1,ポーションや装備を割り振る作業に劣情を込めることが醍醐味で、攻略法が多様で自由度が感じられる
自由度,-1,自由度は低い
自由度,1,プレイヤーの思うがままに冒険出来る世界を体験出来る
自由度,1,仲間を４人から６人にするMODは、１週でオリジン仲間の個人イベントを全て遊べるのでゲームを周回プレイしない自分には、助かりました。
自由度,1,行動の自由はもちろん、生殺与奪、取捨選択の選択肢も豊富。このゲームには決まった役職は無く、ロールを意識していつでも自由に変更できる。
自由度,1,選ばなかったキャラクターは後ほど仲間に出来るのですが、どのキャラクターも個性的で人間臭く、一癖も二癖もある人物ばかりで、けして絵に描いたような正義の味方では無いところが魅力的です
自由度,0,難易度が常時変更できるので、詰むことはないですが。
自由度,-1,自由なのは良いことなのだが
自由度,-1,実際はほぼない。ストーリーの自由度に関してですが、これはかなり低いです。実際は選択肢が限られてしまうことになります。
自由度,1,魔法とか準備とかいらず使い放題、回復もし放題でそこらへんはストレスあんまりないかも
自由度,1,やり放題の自由度
自由度,1,自分のやり方で自由にゲームをプレイできた。このゲームをどうプレイするかについて選択肢があるように感じた。このゲームをどうプレイしたいかという自由を感じた。
自由度,0,クエストを進めることでレベルが上がっていきます。
自由度,1,ここは危険だ等戦略を巡らせる楽しみがあります
自由度,1,クエストのクリアの仕方などが自由度が高い、キャラビルドの自由度が高い
自由度,1,自由さや選択肢があった
自由度,1,難易度も選べるので優しいです。
自由度,1,サブイベントだと思ってたものが結構な重要な絡みを見せたり
自由度,1,有利な戦場を自分で作れるのは楽しい
自由度,1,modに対応しているため、2週目3週目も飽きずにプレイできました。
自由度,0,自分が思った通りに事が運ばないこともしばしば、人によってあらゆる方法でクリアを目指せます
自由度,1,ソロで進めることもできます。セーブを沢山用意しましょう。
自由度,1,オプションでグラやボリュームを好みに合わせて設定するのと同じ感覚
